parameter,display_name,S1,ST
DOS,DOS,0.002047199288339986,0.025928585350271493
lesion_length,Lesion Length,0.01299776435528376,0.015396711622739891
lumen_axial_skewness,Lumen Skewness,0.0005356759060444509,0.0006121616232192089
alpha,Lipid Arc Angle,0.028884214081897962,0.050724983627036785
lipid_length,Lipid Length,0.024738506160166592,0.030548808388794025
PI,Pulsatility Index,0.0011702080396428444,0.0019605720037481644
E_vessel,$E_{vessel}$,0.14594560332187406,0.19570365568792175
E_fc,$E_{fc}$,0.5503271567987186,0.5750852121099204
E_lipid,$E_{lipid}$,0.038056791697885554,0.04614560643093628
SBP,$P_{sys}$,0.07861500605132059,0.08147877510803556
PP,Pulse Pressure,0.03028305386997334,0.033804384256225804
tau,Decay Ratio,0.000730441535507339,0.0018290362499673953
