parameter,display_name,S1,ST
DOS,DOS,0.050998828572254615,0.08852993994718819
lesion_length,Lesion Length,-0.0020628712362619913,0.02173328641707059
lumen_axial_skewness,Lumen Skewness,5.48835255174763e-07,1.5825702114021227e-10
lipid_length_ratio,Lipid Length Ratio,0.000738636520527661,0.0029174996709104206
alpha,Lipid Arc Angle,0.031925678139293145,0.05087915621028083
PI,Pulsatility Index,2.580382362193775e-06,5.522073339327169e-08
fraction,Ca Fraction,0.03740519077889256,0.1549921598300067
E_vessel,$E_{vessel}$,0.31536745507105857,0.4287926475516295
E_fc,$E_{fc}$,0.125251010508733,0.1535659789386686
E_lipid,$E_{lipid}$,0.04549927647500177,0.06220686922748812
E_cal,$E_{cal}$,-2.551774710500179e-07,2.634031380956923e-10
SBP,$P_{sys}$,0.19698532341213987,0.2027414672709629
PP,Pulse Pressure,0.05381236508622979,0.05389332564686849
tau,Decay Ratio,0.0014010071509852088,0.0009330501666575335
