DOS,lesion_length,lumen_axial_skewness,lipid_length_ratio,alpha,PI,d_fc_ca,fraction,ca_axial_skewness,ca_shoulder_skewness,ca_strength_ratio,fc_av_th,SBP,PP,tau,DBP,E_vessel,E_fc,E_lipid,E_cal
0.4767,1.6932,0.417,0.7298,156.7,1.022,0.0079,0.2698,0.3292,0.5611,2.3442,0.01,160.82,66.59,0.14879,94.23,13794939,19837661,878370,143396539569
0.2748,2.1418,0.361,0.7955,234.6,0.999,0.0179,0.6414,0.1019,0.1057,0.8837,0.01,111.98,64.18,0.31781,47.8,2948776,16008463,391386,202666986374
0.3986,2.8296,0.2091,0.6557,136.6,0.949,0.0151,0.5858,0.5562,0.6877,1.4736,0.01,152.23,52.03,0.11743,100.2,11437335,6176443,134373,241998796108
0.3425,2.4517,-0.0378,0.7734,229.8,0.949,0.0051,0.1222,0.4633,0.6598,0.6529,0.01,137.93,62.74,0.25302,75.19,13198630,6435368,996591,205961780991
0.2767,2.5255,0.0528,0.5453,181.4,1.101,0.0073,0.7462,0.7078,0.1791,0.2889,0.01,105.79,39.44,0.33366,66.35,9429790,14714787,621991,57633505551
0.6554,1.1386,-0.0311,0.5793,225.5,1.193,0.0085,0.3084,0.1477,0.3882,0.8024,0.01,159.87,49.07,0.17913,110.8,2732145,20561264,775299,97421971568
0.4162,2.9399,-0.3643,0.7446,121.9,1.144,0.0058,0.3224,0.3714,0.6228,1.7313,0.01,169.9,47.63,0.07533,122.27,3901881,20944302,840148,150359355685
0.6097,1.8143,-0.4311,0.5149,221.0,1.01,0.0099,0.2207,0.0834,0.7693,0.2852,0.01,107.44,35.73,0.46434,71.71,6977994,4956022,687413,190958895135
0.7149,2.7053,0.3414,0.587,242.7,1.001,0.008,0.5812,0.1651,0.6253,0.2131,0.01,109.05,64.14,0.33459,44.91,12162764,15487961,849055,103667958460
0.5476,1.0993,0.1346,0.7555,191.2,1.037,0.008,0.1069,0.6736,0.5719,0.3651,0.01,168.93,39.27,0.19109,129.66,10345311,12407962,227575,144375235199
0.4356,2.4861,-0.3801,0.6254,209.6,0.901,0.0086,0.5593,0.5347,0.4516,0.8152,0.01,144.03,66.13,0.17303,77.9,5557317,16543179,945847,221250094906
0.3175,2.721,-0.4659,0.6848,213.0,1.062,0.0141,0.5631,0.1791,0.705,4.7446,0.01,135.11,43.83,0.38232,91.28,8867181,10634709,210586,127943936271
0.7203,1.1402,0.0619,0.7383,167.6,1.182,0.0053,0.4949,0.3594,0.3856,0.9627,0.01,128.83,45.96,0.18535,82.87,7803128,8975345,444412,186575210968
0.4094,1.5752,0.4735,0.706,131.6,1.009,0.0134,0.2128,0.4464,0.589,1.1494,0.01,149.66,56.54,0.10306,93.12,2419770,4120368,158792,95019282845
0.3458,2.9764,0.055,0.5953,200.3,1.053,0.0088,0.288,0.1364,0.7362,2.4116,0.01,135.26,61.55,0.33743,73.71,10783034,12881194,406852,133818169192
0.3102,2.3809,0.0049,0.6881,266.3,1.145,0.0076,0.1383,0.4183,0.4186,0.469,0.01,109.46,64.77,0.31762,44.69,7010311,21471049,720260,107416105278
0.6671,2.431,0.2212,0.7256,217.2,1.013,0.0093,0.7067,0.3327,0.1154,3.3613,0.01,108.91,48.02,0.03576,60.89,6789749,8815482,592556,52853140126
0.6323,2.9447,-0.2377,0.6668,248.6,1.144,0.0199,0.4708,0.7935,0.4908,0.2815,0.01,128.25,70.73,0.02642,57.52,3963599,17329702,969098,232404727540
0.5556,1.0404,0.4527,0.6911,176.6,1.009,0.0073,0.2847,0.6912,0.4453,4.4765,0.01,154.73,64.07,0.10674,90.66,6357906,15224555,449502,102673623714
0.584,2.0013,-0.3026,0.7659,237.4,0.972,0.0157,0.79,0.2488,0.393,6.7285,0.01,147.92,78.39,0.02858,69.53,6040183,19377424,790559,28436512735
0.5421,2.9558,-0.4482,0.5524,136.9,1.158,0.0132,0.4201,0.2298,0.7272,3.5788,0.01,135.81,66.44,0.20241,69.37,7725364,18413279,691304,50942425580
0.3793,1.4861,0.1687,0.714,249.7,1.073,0.0181,0.61,0.6349,0.2534,0.5294,0.01,151.95,77.74,0.08862,74.21,7304705,14220289,997305,88778763833
0.5294,1.4509,0.3169,0.783,187.0,0.993,0.0107,0.1324,0.1405,0.1318,4.6028,0.01,146.78,62.64,0.35589,84.14,11176903,12426480,123699,73169794149
0.3061,2.6387,0.0256,0.7986,161.3,0.921,0.0136,0.1479,0.6108,0.3457,1.1806,0.01,149.18,51.48,0.42757,97.7,4270200,9806761,222552,165768841330
0.6897,1.6847,0.0328,0.7371,196.7,1.055,0.0076,0.4034,0.3028,0.49,0.3387,0.01,139.11,44.18,0.07705,94.93,3244296,13593335,679123,32281258868
0.6543,1.0582,-0.3473,0.5788,221.4,1.026,0.0078,0.1714,0.0107,0.1617,0.2511,0.01,165.26,68.98,0.20654,96.28,8853188,11624706,445337,87197490140
0.2978,2.1377,0.2545,0.6862,172.0,1.073,0.0147,0.6926,0.6152,0.0989,4.2102,0.01,140.57,66.32,0.49326,74.25,1210876,14246379,504555,160266845300
0.2507,1.6244,0.1307,0.689,206.1,1.116,0.0126,0.1292,0.267,0.2332,0.4452,0.01,124.93,66.36,0.26667,58.57,1323747,20702851,425349,100019825702
0.4656,1.5299,-0.3608,0.5576,219.8,1.069,0.0123,0.5607,0.1313,0.5578,0.6313,0.01,155.88,46.25,0.09305,109.63,11552023,4007995,952305,232538842729
0.5142,1.8294,-0.2271,0.7181,212.1,1.051,0.0082,0.7352,0.3131,0.4004,1.5774,0.01,124.52,48.49,0.43311,76.03,8400139,18768330,982742,207565563952
0.2687,2.6345,0.3089,0.781,233.0,1.151,0.0069,0.5398,0.3535,0.7329,0.2003,0.01,130.33,76.64,0.07168,53.69,9507407,12955653,434626,167278958801
0.64,2.6231,0.0961,0.7922,160.9,1.002,0.0152,0.7272,0.0231,0.0302,1.3474,0.01,132.73,71.15,0.41574,61.58,2455459,14744614,270043,241459880622
0.298,2.0163,0.363,0.6147,188.7,1.035,0.0198,0.1359,0.0513,0.6762,2.2835,0.01,153.65,39.41,0.28776,114.24,3520656,9346835,192981,43711195811
0.3713,2.4656,0.1457,0.736,134.0,1.136,0.0147,0.6078,0.6422,0.4955,1.1862,0.01,117.93,50.68,0.49864,67.25,2175446,21568409,811315,245134458659
0.6354,2.6663,-0.3505,0.558,254.4,0.976,0.0186,0.3603,0.1953,0.6702,2.9597,0.01,103.41,45.69,0.08663,57.72,4354539,15067836,255735,73804896610
0.3123,1.2933,-0.4849,0.6404,125.1,1.145,0.0196,0.567,0.238,0.3159,0.2575,0.01,117.26,58.33,0.4344,58.93,1994673,18791677,990162,42582070083
0.4219,2.7812,-0.1939,0.5675,127.1,1.185,0.0063,0.6493,0.3207,0.5826,1.3513,0.01,156.99,42.51,0.11434,114.48,1981845,14938927,689802,211965476606
