parameter,display_name,S1,ST
DOS,DOS,0.01821305451924902,0.029629104139830748
lesion_length,Lesion Length,-1.316469145813798e-09,5.844105651574125e-13
lumen_axial_skewness,Lumen Skewness,3.110133709822319e-10,9.785591570057206e-17
lipid_length_ratio,Lipid Length Ratio,0.0012213921505502257,0.0014975723698863787
alpha,Lipid Arc Angle,0.009657368072315198,0.019302155653104513
PI,Pulsatility Index,0.00040817871407874897,0.0002658336981369608
fraction,Ca Fraction,0.01487045019787636,0.04715107672863015
E_vessel,$E_{vessel}$,0.12870955364480502,0.16696595509719722
E_fc,$E_{fc}$,0.6272396200605556,0.6340939312313216
E_lipid,$E_{lipid}$,0.02706094970662201,0.03448712803055937
E_cal,$E_{cal}$,-6.066159058854693e-10,1.823386047413963e-15
SBP,$P_{sys}$,0.0954934954389214,0.0987192058712813
PP,Pulse Pressure,0.03075672193886692,0.031900766462149274
tau,Decay Ratio,0.0004319201280249215,0.0008113070389417681
