parameter,display_name,S1,ST
DOS,DOS,0.002479380740172285,0.05424249973456474
lesion_length,Lesion Length,0.027538372525252108,0.03221568067108747
lumen_axial_skewness,Lumen Skewness,0.0009316298489435725,0.0010592150568327244
alpha,Lipid Arc Angle,0.060654979572122375,0.10744279583099435
lipid_length,Lipid Length,0.05547306119121082,0.06373345774854099
PI,Pulsatility Index,0.0025629251282338664,0.00403170645664621
E_vessel,$E_{vessel}$,0.3068211191558551,0.40823694412671824
E_fc,$E_{fc}$,0.0870799314002724,0.13720486561355852
E_lipid,$E_{lipid}$,0.07857349496930023,0.09543299553655439
SBP,$P_{sys}$,0.16617475822426872,0.17117208635819034
PP,Pulse Pressure,0.0638926786913256,0.07197775731701049
tau,Decay Ratio,0.001763088918089855,0.003830443203383246
